식품명,식품대분류명,대표식품명,식품중분류명,영양성분함량기준량,에너지(kcal),단백질(g),지방(g),탄수화물(g),당류(g),인(mg),칼륨(mg),나트륨(mg),식품중량
잡채,볶음류,잡채,밀,100g,146,4.71,3.3,24.26,0.73,61,201,360,200g
잡채_어묵,볶음류,잡채,어묵,100g,148,2.34,3.78,26.13,1.5,36,48,429,280g
잡채_콩나물,볶음류,잡채,콩나물,100g,67,1.93,0.97,12.55,9.37,42,148,619,230g
죽순볶음_소고기,볶음류,죽순볶음,소,100g,120,13.68,5.59,3.78,2.07,118,232,214,230g
팔보채,볶음류,팔보채,해물,100g,90,12.42,2.9,3.42,2.09,136,259,856,220g
풋고추볶음,볶음류,풋고추볶음,고추,100g,70,1.93,3.23,8.25,4.34,45,211,276,100g
햄볶음_채소,볶음류,햄볶음,돼지,100g,183,10.47,11.37,9.6,3.33,179,227,803,220g
감자조림,조림류,감자조림,감자,100g,114,2.4,3.52,18.1,7.68,56,401,487,50g
고등어조림,조림류,고등어조림,고등어,100g,141,11.25,8.84,4.1,3.39,148,346,390,100g
꽁치조림,조림류,꽁치조림,꽁치,100g,244,15.52,17.87,5.14,4.05,203,310,350,100g
닭볶음탕,조림류,닭볶음탕,닭,100g,111,11.91,3.22,8.52,0.42,105,327,376,300g
닭조림,조림류,닭조림,닭,100g,197,18.03,10.9,6.57,0.5,182,376,470,150g
닭조림_고추장,조림류,닭조림,닭,100g,152,9.12,6.94,13.25,2.04,131,347,290,250g
두부조림,조림류,두부조림,두부,100g,143,9.64,9.66,4.4,3.64,151,187,161,50g
땅콩조림,조림류,땅콩조림,땅콩,100g,483,18.75,36.4,19.95,9.85,339,518,574,20g
멸치조림,조림류,멸치조림,멸치,100g,318,40.92,13.22,8.93,7.35,1397,743,3163,100g
무조림,조림류,무조림,무,100g,48,2.26,2.38,4.29,3.87,57,446,779,150g
미트볼조림,조림류,미트볼조림,돼지,100g,221,18.15,10.73,12.95,10.52,191,405,315,150g
버섯볶음_느타리,볶음류,버섯볶음,버섯,100g,94,2.8,6.2,6.78,4.24,86,187,524,50g
버섯볶음_새송이버섯,볶음류,버섯볶음,버섯,100g,121,2.95,8.03,9.29,3.75,101,313,341,120g
